NAME,PARTY,TOTAL VOTES,STATE,GENDER
SANDHYA RAY,BJP,527694,Madhya Pradesh,FEMALE
KAPIL MORESHWAR PATIL,BJP,523583,Maharashtra,MALE
Dharambir Singh S/o Bhale Ram,BJP,736699,Haryana,MALE
Komati Reddy Venkat Reddy,INC,532795,Telangana,MALE
SADHVI PRAGYA SINGH THAKUR,BJP,866482,Madhya Pradesh,FEMALE
APARAJITA SARANGI,BJP,486991,Odisha,FEMALE
BHAGWANTH KHUBA,BJP,585471,Karnataka,MALE
JIGAJINAGI RAMESH CHANDAPPA,BJP,635867,Karnataka,MALE
MALOOK NAGAR,BSP,561045,Uttar Pradesh,MALE
ARJUN RAM MEGHWAL,BJP,657743,Rajasthan,MALE
ARUN SAO,BJP,634559,Chhattisgarh,MALE
SATABDI ROY,AITC,654077,West Bengal,FEMALE
KHAN SAUMITRA,BJP,657019,West Bengal,MALE
Sangeeta Kumari Singh Deo,BJP,498086,Odisha,FEMALE
ASIT KUMAR MAL,AITC,699171,West Bengal,MALE
BHOLA SINGH,BJP,681321,Uttar Pradesh,MALE
Jadhav Prataprao Ganpatrao,SHS,521977,Maharashtra,MALE
Ashwini Kumar Choubey,BJP,473053,Bihar,MALE
BENNY BEHANAN,INC,473444,Kerala,MALE
V. SRINIVAS PRASAD,BJP,568537,Karnataka,MALE
Dr. Mahendra Nath Pandey,BJP,510733,Uttar Pradesh,MALE
KIRRON KHER,BJP,231188,Chandigarh,FEMALE
HARSH VARDHAN,BJP,519055,NCT OF Delhi,MALE
Balubhau alias Suresh Narayan Dhanorkar,INC,559507,Maharashtra,MALE
SUNIL KUMAR SINGH,BJP,528077,Jharkhand,MALE
DAYANIDHI MARAN,DMK,448911,Tamil Nadu,MALE
Dr. KALANIDHI VEERASWAMY,DMK,590986,Tamil Nadu,MALE
T.SUMATHY (A) THAMIZHACHI THANGAPANDIAN,DMK,564872,Tamil Nadu,FEMALE
Dr. G. Ranjith Reddy,TRS,528148,Telangana,MALE
NAKUL KAMAL NATH,INC,587305,Madhya Pradesh,MALE
RATHVA GITABEN VAJESINGBHAI,BJP,764445,Gujarat,FEMALE
THIRUMAAVALAVAN THOL,VCK,500229,Tamil Nadu,MALE
B.N.Bache Gowda,BJP,745912,Karnataka,MALE
ANNASAHEB SHANKAR JOLLE,BJP,645017,Karnataka,MALE
A NARAYANASWAMY,BJP,626195,Karnataka,MALE
N. REDDEPPA,YSRCP,686792,Andhra Pradesh,MALE
Chandra Prakash Joshi,BJP,982942,Rajasthan,MALE
RAHUL KASWAN,BJP,792999,Rajasthan,MALE
NATARAJAN. P.R,CPI(M),571150,Tamil Nadu,MALE
NISITH PRAMANIK,BJP,731594,West Bengal,MALE
T. R. V .S. RAMESH,DMK,522160,Tamil Nadu,MALE
BHARTRUHARI MAHTAB,BJD,524592,Odisha,MALE
DELKAR MOHANBHAI SANJIBHAI,IND,90421,Dadra & Nagar Haveli,MALE
JASHVANTSINH SUMANBHAI BHABHOR,BJP,561760,Gujarat,MALE
NALIN KUMAR KATEEL,BJP,774285,Karnataka,MALE
LALUBHAI BABUBHAI PATEL,BJP,37597,Daman & Diu,MALE
PRAHALAD SINGH PATEL,BJP,704524,Madhya Pradesh,MALE
Gopal Jee Thakur,BJP,586668,Bihar,MALE
RAJU BISTA,BJP,750067,West Bengal,MALE
Jaskaur Meena,BJP,548733,Rajasthan,FEMALE
G M SIDDESHWAR,BJP,652996,Karnataka,MALE
RAMAPATI RAM TRIPATHI,BJP,580644,Uttar Pradesh,MALE
MAHENDRA SINGH SOLANKY,BJP,862429,Madhya Pradesh,MALE
PASHUPATI NATH SINGH,BJP,827234,Jharkhand,MALE
CHATTARSINGH DARBAR,BJP,722147,Madhya Pradesh,MALE
DNV SENTHILKUMAR. S.,DMK,574988,Tamil Nadu,MALE
Pralhad Joshi,BJP,684837,Karnataka,MALE
REKHA VERMA,BJP,512905,Uttar Pradesh,FEMALE
MAHESH SAHOO,BJD,522884,Odisha,MALE
BADRUDDIN AJMAL,AIUDF,718764,Assam,MALE
Bhamre Subhash Ramrao,BJP,613533,Maharashtra,MALE
ABHISHEK BANERJEE,AITC,791127,West Bengal,MALE
RAMESWAR TELI,BJP,659583,Assam,MALE
"VELUSAMY, P.",DMK,746523,Tamil Nadu,MALE
Dr. Bharati Pravin Pawar,BJP,567470,Maharashtra,FEMALE
JAGDAMBIKA PAL,BJP,492253,Uttar Pradesh,MALE
SOUGATA RAY,AITC,512062,West Bengal,MALE
SUNIL SOREN,BJP,484923,Jharkhand,MALE
VIJAY BAGHEL,BJP,849374,Chhattisgarh,MALE
GAUTAM GAMBHIR,BJP,696156,NCT OF Delhi,MALE
KOTAGIRI SRIDHAR,YSRCP,676809,Andhra Pradesh,MALE
HIBI EDEN,INC,491263,Kerala,MALE
GANESHAMURTHI A,DMK,563591,Tamil Nadu,MALE
Rajveer Singh (Raju Bhaiya),BJP,545348,Uttar Pradesh,MALE
LALLU SINGH,BJP,529021,Uttar Pradesh,MALE
KRISHAN PAL,BJP,913222,Haryana,MALE
Mohammad Sadique,INC,419065,Punjab,MALE
Mukesh Rajput,BJP,569880,Uttar Pradesh,MALE
AMAR SINGH,INC,411651,Punjab,MALE
NIRANJAN JYOTI,BJP,566040,Uttar Pradesh,FEMALE
RAJKUMAR CHAHAR,BJP,667147,Uttar Pradesh,MALE
Dr. Chandra Sen Jadon,BJP,495819,Uttar Pradesh,MALE
SUKHBIR SINGH BADAL,SAD,633427,Punjab,MALE
ASHOK MAHADEORAO NETE,BJP,519968,Maharashtra,MALE
AMIT SHAH,BJP,894624,Gujarat,MALE
NIHAL CHAND,BJP,897177,Rajasthan,MALE
Tirath Singh Rawat,BJP,506980,Uttarakhand,MALE
QUEEN OJA,BJP,1008936,Assam,FEMALE
Dr. MAHESH SHARMA,BJP,830812,Uttar Pradesh,MALE
Vijay Kumar,JD(U),467007,Bihar,MALE
ADHIKARI DEEPAK (DEV),AITC,717959,West Bengal,MALE
Vijay Kumar Singh,BJP,944503,Uttar Pradesh,MALE
AFZAL ANSARI,BSP,566082,Uttar Pradesh,MALE
ATUL KUMAR SINGH,BSP,573829,Uttar Pradesh,MALE
Chandra Prakash Choudhary,AJSUP,648277,Jharkhand,MALE
Nishikant Dubey,BJP,637610,Jharkhand,MALE
KIRTI VARDHAN SINGH ALIAS RAJA BHAIYA,BJP,508190,Uttar Pradesh,MALE
DR. ALOK KUMAR SUMAN,JD(U),568150,Bihar,MALE
Ravindra Shyamnarayan Shukla alias Ravi Kishan,BJP,717122,Uttar Pradesh,MALE
DR. UMESH G JADHAV,BJP,620192,Karnataka,MALE
"KRISHNA PAL SINGH ""Dr. K. P. YADAV""",BJP,614049,Madhya Pradesh,MALE
Jayadev Galla,TDP,587918,Andhra Pradesh,MALE
SUNNY DEOL,BJP,558719,Punjab,MALE
RAO INDERJIT SINGH,BJP,881546,Haryana,MALE
VIVEK NARAYAN SHEJWALKAR,BJP,627250,Madhya Pradesh,MALE
PASHU PATI KUMAR PARAS,LJP,541310,Bihar,MALE
ANURAG SINGH THAKUR,BJP,682692,Himachal Pradesh,MALE
KUNWAR PUSHPENDRA SINGH CHANDEL,BJP,575122,Uttar Pradesh,MALE
Jai Prakash,BJP,568143,Uttar Pradesh,MALE
Ramesh Pokhriyal 'Nishank',BJP,665674,Uttarakhand,MALE
PRAJWAL REVANNA,JD(S),676606,Karnataka,MALE
RAJVIR DILER,BJP,684299,Uttar Pradesh,MALE
Dhairyasheel Sambhajirao Mane,SHS,585776,Maharashtra,MALE
UDASI. S.C.,BJP,683660,Karnataka,MALE
JAYANT SINHA,BJP,728798,Jharkhand,MALE
KURUVA GORANTLA MADHAV,YSRCP,706602,Andhra Pradesh,MALE
Hemant Patil,SHS,586312,Maharashtra,MALE
BRIJENDRA SINGH,BJP,603289,Haryana,MALE
LOCKET CHATTERJEE,BJP,671448,West Bengal,FEMALE
UDAY PRATAP SINGH,BJP,877927,Madhya Pradesh,MALE
SOM PARKASH,BJP,421320,Punjab,MALE
Prasun Banerjee,AITC,576711,West Bengal,MALE
ASADUDDIN OWAISI,AIMIM,517471,Telangana,MALE
Adv. DEAN KURIAKOSE,INC,498493,Kerala,MALE
SHANKAR LALWANI,BJP,1068569,Madhya Pradesh,MALE
DR RAJKUMAR RANJAN SINGH,BJP,263632,Manipur,MALE
RAKESH SINGH,BJP,826454,Madhya Pradesh,MALE
MIMI CHAKRABORTY,AITC,688472,West Bengal,FEMALE
RAJASHREE MALLICK,BJD,619985,Odisha,FEMALE
CHANDESHWAR PRASAD,JD(U),335584,Bihar,MALE
Ramcharan Bohra,BJP,924065,Rajasthan,MALE
COL. RAJYAVARDHAN RATHORE,BJP,820132,Rajasthan,MALE
SARMISTHA SETHI,BJD,544020,Odisha,FEMALE
Santokh Singh Chaudhary,INC,385712,Punjab,MALE
BHANU PRATAP SINGH VERMA,BJP,581763,Uttar Pradesh,MALE
