NAME,PARTY,TOTAL VOTES,STATE,GENDER
GOMATI SAI,BJP,658335,Chhattisgarh,FEMALE
Sunil Kumar Soni,BJP,837902,Chhattisgarh,MALE
MARGANI BHARAT,YSRCP,582024,Andhra Pradesh,MALE
P.V.MIDHUN REDDY,YSRCP,702211,Andhra Pradesh,MALE
RODMAL NAGAR,BJP,823824,Madhya Pradesh,MALE
KUNDARIA MOHANBHAI KALYANJIBHAI,BJP,758645,Gujarat,MALE
VIJAY KUMAR HANSDAK,JMM,507830,Jharkhand,MALE
SANTOSH PANDEY,BJP,662387,Chhattisgarh,MALE
Diya Kumari,BJP,863039,Rajasthan,FEMALE
K. NAVASKANI,IUML,469943,Tamil Nadu,MALE
Mohammad Azam Khan,SP,559177,Uttar Pradesh,MALE
Krupal Balaji Tumane,SHS,597126,Maharashtra,MALE
JAGANNATH SARKAR,BJP,783253,West Bengal,MALE
SANJAY SETH,BJP,706510,Jharkhand,MALE
GUMAN SINGH DAMOR,BJP,696103,Madhya Pradesh,MALE
Vinayak Raut,SHS,458022,Maharashtra,MALE
Khadse Raksha Nikhil,BJP,655386,Maharashtra,FEMALE
JANARDAN MISHRA,BJP,583769,Madhya Pradesh,MALE
PAKAURI LAL KOL,ADAL,447914,Uttar Pradesh,MALE
ARVIND KUMAR SHARMA,BJP,573845,Haryana,MALE
RATHOD DIPSINH SHANKARSINH,BJP,701983,Gujarat,MALE
RAJBAHADUR SINGH,BJP,646231,Madhya Pradesh,MALE
HAJI FAZLUR REHMAN,BSP,514139,Uttar Pradesh,MALE
PARTHIBAN.S.R,DMK,606302,Tamil Nadu,MALE
RAVINDER,BJP,467940,Uttar Pradesh,MALE
Ramchandra Paswan,LJP,562443,Bihar,MALE
NITESH GANGA DEB,BJP,473770,Odisha,MALE
DR. SHAFIQUR REHMAN BARQ,SP,658006,Uttar Pradesh,MALE
Sanjaykaka Patil,BJP,508995,Maharashtra,MALE
BHAGWANT MANN,AAP,413561,Punjab,MALE
PRAVEEN KUMAR NISHAD,BJP,467543,Uttar Pradesh,MALE
Rajiv Pratap Rudy,BJP,499986,Bihar,MALE
Renuka Singh Saruta,BJP,663711,Chhattisgarh,FEMALE
CHHEDI PASWAN,BJP,494800,Bihar,MALE
SHRIMANT CHH. UDAYANRAJE PRATAPSINHMAHARAJ BHONSLE,NCP,579026,Maharashtra,MALE
GANESH SINGH,BJP,588753,Madhya Pradesh,MALE
G . KISHAN REDDY,BJP,384780,Telangana,MALE
HIMADRI SINGH,BJP,747977,Madhya Pradesh,FEMALE
Arun Kumar Sagar,BJP,688990,Uttar Pradesh,MALE
RAMA DEVI,BJP,608678,Bihar,FEMALE
VINCENT H. PALA,INC,419689,Meghalaya,MALE
SURESH KUMAR KASHYAP,BJP,606182,Himachal Pradesh,MALE
B.Y.RAGHAVENDRA.,BJP,729872,Karnataka,MALE
SADASHIV KISAN LOKHANDE,SHS,486820,Maharashtra,MALE
Dr. Amol Ramsing Kolhe,NCP,635830,Maharashtra,MALE
RAM SHIROMANI,BSP,441771,Uttar Pradesh,MALE
Riti Pathak,BJP,698342,Madhya Pradesh,FEMALE
Sumedhanand Saraswati,BJP,772104,Rajasthan,MALE
INDRA HANG SUBBA,SKM,166922,Sikkim,MALE
RAJDEEP ROY,BJP,499414,Assam,MALE
GEETA KORA,INC,431815,Jharkhand,FEMALE
Sunita Duggal,BJP,714351,Haryana,FEMALE
Sunil Kumar Pintu,JD(U),567745,Bihar,MALE
Rajesh Verma,BJP,514528,Uttar Pradesh,MALE
KARTI P CHIDAMBARAM,INC,566104,Tamil Nadu,MALE
Kavita Singh,JD(U),448473,Bihar,FEMALE
SHRI. SHA. BRA. DR. JAI SIDHESHWAR SHIVACHARY MAHASWAMIJI,BJP,524985,Maharashtra,MALE
RAMESH CHANDER KAUSHIK,BJP,587664,Haryana,MALE
RAMESH BIDHURI,BJP,687014,NCT OF Delhi,MALE
COSME FRANCISCO CAITANO SARDINHA,INC,201561,Goa,MALE
KALYAN BANERJEE,AITC,637707,West Bengal,MALE
KINJARAPU RAM MOHAN NAIDU,TDP,534544,Andhra Pradesh,MALE
Farooq Abdullah,JKN,106750,Jammu & Kashmir,MALE
Baalu.T.R.,DMK,793281,Tamil Nadu,MALE
MANEKA SANJAI GANDHI,BJP,459196,Uttar Pradesh,FEMALE
Jual Oram,BJP,500056,Odisha,MALE
Dileshwar Kamait,JD(U),597377,Bihar,MALE
Darshana Vikram Jardosh,BJP,795651,Gujarat,FEMALE
Dr. MUNJAPARA MAHENDRABHAI,BJP,631844,Gujarat,MALE
Adhikari Dibyendu,AITC,724433,West Bengal,MALE
MALA RAJYA LAXMI SHAH,BJP,565333,Uttarakhand,FEMALE
DHANUSH.M.KUMAR,DMK,476156,Tamil Nadu,MALE
PALLAB LOCHAN DAS,BJP,684166,Assam,MALE
RAJAN BABURAO VICHARE,SHS,740969,Maharashtra,MALE
"PALANIMANICKAM,S.S.",DMK,588978,Tamil Nadu,MALE
"RAVEENDRANATH KUMAR, P",AIADMK,504813,Tamil Nadu,MALE
Dr.K.Jayakumar,INC,767292,Tamil Nadu,MALE
Dr. SHASHI THAROOR,INC,416131,Kerala,MALE
KANIMOZHI KARUNANIDHI,DMK,563143,Tamil Nadu,FEMALE
T. N. PRATHAPAN,INC,415089,Kerala,MALE
Dr Virendra Kumar,BJP,672248,Madhya Pradesh,MALE
Thirunavukkarasar. SU,INC,621285,Tamil Nadu,MALE
GNANATHIRAVIAM S,DMK,522993,Tamil Nadu,MALE
Balli Durga Prasad Rao,YSRCP,722877,Andhra Pradesh,MALE
"SUBBARAYAN, K.",CPI(M),508725,Tamil Nadu,MALE
ANNADURAI C N,DMK,666272,Tamil Nadu,MALE
Sukhbir Singh Jaunapuria,BJP,644319,Rajasthan,MALE
Rebati Tripura,BJP,482126,Tripura,MALE
Pratima Bhoumik,BJP,573532,Tripura,FEMALE
G. S. BASAVARAJ,BJP,596127,Karnataka,MALE
AGATHA K. SANGMA,NPEP,304455,Meghalaya,FEMALE
ARJUNLAL MEENA,BJP,871548,Rajasthan,MALE
DR. JITENDRA SINGH,BJP,724311,Jammu & Kashmir,MALE
SHOBHA KARANDLAJE,BJP,718916,Karnataka,FEMALE
Nityanand Rai,BJP,543906,Bihar,MALE
ANIL FIROJIYA,BJP,791663,Madhya Pradesh,MALE
SAJDA AHMED,AITC,694945,West Bengal,FEMALE
Swami Sakshi Ji Maharaj,BJP,703507,Uttar Pradesh,MALE
ANANTKUMAR HEGDE,BJP,786042,Karnataka,MALE
K. MURALEEDHARAN,INC,526755,Kerala,MALE
RANJANBEN BHATT,BJP,883719,Gujarat,FEMALE
Veena Devi (W/o Dinesh Prasad Singh),LJP,568215,Bihar,FEMALE
BAIDYANATH PRASAD MAHTO,JD(U),602660,Bihar,MALE
Dr.K.C.PATEL,BJP,771980,Gujarat,MALE
NARENDRA MODI,BJP,674664,Uttar Pradesh,MALE
Ramakant Bhargava,BJP,853022,Madhya Pradesh,MALE
KESINENI SRINIVAS (NANI),TDP,575498,Andhra Pradesh,MALE
RAVIKUMAR D,DMK,559585,Tamil Nadu,MALE
"MANICKAM TAGORE, B.",INC,470883,Tamil Nadu,MALE
M V V SATYANARAYANA,YSRCP,436906,Andhra Pradesh,MALE
Bellana Chandra Sekhar,YSRCP,578418,Andhra Pradesh,MALE
DAYAKAR PASUNOORI,TRS,612498,Telangana,MALE
Ramdas Chandrabhanji Tadas,BJP,578364,Maharashtra,MALE
Rahul Gandhi,INC,706367,Kerala,MALE
PARVESH SAHIB SINGH VERMA,BJP,865648,NCT OF Delhi,MALE
Bhavana Pundlikrao Gawali,SHS,542098,Maharashtra,FEMALE
B.B.PATIL,TRS,434244,Telangana,MALE
